feature,coefficient,abs_coefficient
num__emp.var.rate,-2.1858727146733106,2.1858727146733106
cat__month_mar,1.2789497851786338,1.2789497851786338
num__cons.price.idx,1.0357376252539976,1.0357376252539976
cat__month_jun,-0.7660760750788409,0.7660760750788409
cat__month_may,-0.6471266085395151,0.6471266085395151
cat__month_nov,-0.5822135458768899,0.5822135458768899
num__euribor3m,0.5419616127009967,0.5419616127009967
cat__month_aug,0.4514130275956202,0.4514130275956202
cat__month_dec,0.4239835682555075,0.4239835682555075
cat__job_retired,0.35573165286229586,0.35573165286229586
cat__education_illiterate,0.3492735922174576,0.3492735922174576
cat__contact_telephone,-0.3130527527626439,0.3130527527626439
cat__poutcome_failure,-0.30365635346615305,0.30365635346615305
cat__marital_unknown,0.2940881929506854,0.2940881929506854
cat__contact_cellular,0.28541035213553295,0.28541035213553295
num__pdays,-0.2572846053924297,0.2572846053924297
cat__poutcome_success,0.2505759402851872,0.2505759402851872
num__nr.employed,0.24147576889817782,0.24147576889817782
cat__month_apr,-0.21596585561257162,0.21596585561257162
cat__education_professional.course,-0.17757205595885633,0.17757205595885633
cat__marital_divorced,-0.16320670995402092,0.16320670995402092
cat__job_student,0.14986033058660442,0.14986033058660442
cat__job_housemaid,-0.13247565418614315,0.13247565418614315
cat__day_of_week_mon,-0.12288067044335649,0.12288067044335649
cat__day_of_week_wed,0.1205206449320846,0.1205206449320846
cat__marital_married,-0.12031352137267311,0.12031352137267311
cat__education_basic.9y,-0.11685759433415153,0.11685759433415153
num__campaign,-0.11451163259070407,0.11451163259070407
cat__education_basic.4y,-0.10885207065475029,0.10885207065475029
cat__job_blue-collar,-0.10785562537106079,0.10785562537106079
cat__job_services,-0.10508012373771489,0.10508012373771489
cat__default_no,0.10304279706866765,0.10304279706866765
cat__education_basic.6y,0.09123708316745227,0.09123708316745227
cat__job_unemployed,-0.08353388654807377,0.08353388654807377
num__cons.conf.idx,0.07747558151489117,0.07747558151489117
num__previous,-0.07297665743637259,0.07297665743637259
cat__default_unknown,-0.07019437922699977,0.07019437922699977
cat__default_yes,-0.06049081846879328,0.06049081846879328
cat__education_high.school,-0.059800286536523375,0.059800286536523375
cat__job_management,-0.04548516083792571,0.04548516083792571
cat__job_admin.,-0.04366126349645032,0.04366126349645032
cat__day_of_week_tue,-0.04279105935997279,0.04279105935997279
cat__job_unknown,0.03875834068937389,0.03875834068937389
cat__marital_single,-0.03821036225111409,0.03821036225111409
cat__job_self-employed,-0.03773003444266378,0.03773003444266378
cat__month_sep,0.03351556378273858,0.03351556378273858
cat__housing_yes,-0.030150128760935303,0.030150128760935303
cat__poutcome_nonexistent,0.02543801255385727,0.02543801255385727
cat__housing_no,0.024541261992977646,0.024541261992977646
cat__job_technician,-0.02402424573967751,0.02402424573967751
cat__loan_unknown,-0.022033533859165823,0.022033533859165823
cat__housing_unknown,-0.022033533859165823,0.022033533859165823
cat__day_of_week_fri,0.020993242474587816,0.020993242474587816
cat__loan_no,-0.020965082729403325,0.020965082729403325
cat__loan_yes,0.015356215961445173,0.015356215961445173
num__age,-0.015035472381956343,0.015035472381956343
cat__education_unknown,-0.013988830707472295,0.013988830707472295
cat__month_jul,-0.009632497257889816,0.009632497257889816
cat__education_university.degree,0.008917762179727055,0.008917762179727055
cat__job_entrepreneur,0.007853269594323937,0.007853269594323937
cat__month_oct,0.005510236926090006,0.005510236926090006
cat__day_of_week_thu,-0.0034845582304658977,0.0034845582304658977
