called_share,clients,deposits,conversion,deposit_share,cost,revenue,profit,roi,profit_per_client
0.1,1029,526,0.511175898931001,0.453448275862069,3087,42080,38993,12.631357304826693,37.89407191448008
0.2,2059,752,0.3652258377853327,0.6482758620689655,6177,60160,53983,8.739355674275538,26.218067022826617
0.30000000000000004,3089,849,0.27484622855292973,0.7318965517241379,9267,67920,58653,6.32923276141146,18.98769828423438
0.4,4118,901,0.218795531811559,0.7767241379310345,12354,72080,59726,4.834547514974907,14.503642544924721
0.5,5148,959,0.1862859362859363,0.8267241379310345,15444,76720,61276,3.9676249676249675,11.902874902874903
0.6,6178,1012,0.16380705730009712,0.8724137931034482,18534,80960,62426,3.3681881946692567,10.10456458400777
0.7000000000000001,7207,1058,0.1468017205494658,0.9120689655172414,21621,84640,63019,2.9147125479857547,8.744137643957263
0.8,8237,1102,0.13378657278135245,0.95,24711,88160,63449,2.567641940836065,7.7029258225081945
0.9,9267,1134,0.12236969893169311,0.9775862068965517,27801,90720,62919,2.2631919715118163,6.789575914535448
1.0,10297,1160,0.11265417111780131,1.0,30891,92800,61909,2.004111229808035,6.012333689424104
